Year,Substantzia adiktiboa,Sexua,Units,Value
2022,Alkohola,Gizona,PER_100000,95.4
2014,Alkohola,Gizona,PER_100000,78.4
2018,Alkohola,Gizona,PER_100000,84.6
2016,Alkohola,Gizona,PER_100000,74.2
2015,Alkohola,Gizona,PER_100000,73.9
2010,Alkohola,Gizona,PER_100000,80.1
2020,Alkohola,Gizona,PER_100000,59.6
2011,Alkohola,Gizona,PER_100000,79.4
2013,Alkohola,Gizona,PER_100000,84.7
2011,Legez kanpoko drogak,,PER_100000,71.3
2015,Legez kanpoko drogak,,PER_100000,64.7
2014,Legez kanpoko drogak,,PER_100000,67.5
2012,Legez kanpoko drogak,,PER_100000,72.3
2019,Legez kanpoko drogak,,PER_100000,66.4
2021,Legez kanpoko drogak,,PER_100000,70.7
2018,Legez kanpoko drogak,,PER_100000,70.8
2022,Legez kanpoko drogak,,PER_100000,70.0
2016,Legez kanpoko drogak,,PER_100000,64.0
2020,Legez kanpoko drogak,,PER_100000,51.0
2010,Legez kanpoko drogak,,PER_100000,76.7
2013,Legez kanpoko drogak,,PER_100000,68.2
2017,Legez kanpoko drogak,,PER_100000,66.5
2022,Legez kanpoko drogak,Emakumea,PER_100000,24.7
2019,Legez kanpoko drogak,Emakumea,PER_100000,18.4
2017,Legez kanpoko drogak,Emakumea,PER_100000,18.3
2015,Legez kanpoko drogak,Emakumea,PER_100000,17.5
2021,Legez kanpoko drogak,Emakumea,PER_100000,23.8
2012,Legez kanpoko drogak,Emakumea,PER_100000,22.1
2010,Legez kanpoko drogak,Emakumea,PER_100000,21.6
2011,Legez kanpoko drogak,Emakumea,PER_100000,20.9
2016,Legez kanpoko drogak,Emakumea,PER_100000,17.8
2013,Legez kanpoko drogak,Emakumea,PER_100000,20.5
2014,Legez kanpoko drogak,Emakumea,PER_100000,21.1
2018,Legez kanpoko drogak,Emakumea,PER_100000,21.0
2020,Legez kanpoko drogak,Emakumea,PER_100000,15.5
2010,Legez kanpoko drogak,Gizona,PER_100000,134.5
2012,Legez kanpoko drogak,Gizona,PER_100000,125.0
2016,Legez kanpoko drogak,Gizona,PER_100000,113.0
2018,Legez kanpoko drogak,Gizona,PER_100000,123.6
2020,Legez kanpoko drogak,Gizona,PER_100000,88.8
2022,Legez kanpoko drogak,Gizona,PER_100000,118.2
2021,Legez kanpoko drogak,Gizona,PER_100000,120.6
2019,Legez kanpoko drogak,Gizona,PER_100000,117.2
2017,Legez kanpoko drogak,Gizona,PER_100000,117.7
2015,Legez kanpoko drogak,Gizona,PER_100000,114.6
2014,Legez kanpoko drogak,Gizona,PER_100000,116.3
2013,Legez kanpoko drogak,Gizona,PER_100000,118.4
2011,Legez kanpoko drogak,Gizona,PER_100000,124.1
