Year,Series,Sexo,Territorio histórico,Units,Value
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Bizkaia,Porcentaje,50.6
2023,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,59.8
2021,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,50.0
2018,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,41.1
2020,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,71.9
2022,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,61.4
2019,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,48.9
2017,Proporción de personas desempleadas que reciben prestaciones por desempleo,Hombre,Gipuzkoa,Porcentaje,40.3
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.3
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.8
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.5
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.1
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,83.0
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.4
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.9
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.8
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.9
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.7
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.4
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.8
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,81.8
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,,Porcentaje,82.9
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.0
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,82.0
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.6
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.7
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,79.9
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.5
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.9
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.3
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.8
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.7
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.0
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.3
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,80.0
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Araba/Álava,Porcentaje,81.7
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.8
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.5
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.3
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.9
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.9
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.1
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.3
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.2
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.4
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,80.9
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Bizkaia,Porcentaje,81.4
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.0
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.8
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.9
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.0
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.1
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,86.2
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.4
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,,Gipuzkoa,Porcentaje,85.6
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.7
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.9
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.2
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.0
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,70.1
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.2
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.9
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.6
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.2
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.1
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,69.6
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.6
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,71.5
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,,Porcentaje,70.5
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,68.8
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.0
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,67.4
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.8
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,65.5
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.9
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.2
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.0
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.5
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,68.0
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,65.5
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,65.4
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,66.3
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Araba/Álava,Porcentaje,69.5
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.5
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.0
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,69.2
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.9
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,68.9
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,69.7
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.1
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,68.2
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,68.6
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.6
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.5
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,67.5
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,66.9
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Bizkaia,Porcentaje,69.3
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.1
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.3
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.4
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.3
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.6
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.0
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.8
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.1
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.5
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.2
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.2
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,76.4
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,75.9
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Mujer,Gipuzkoa,Porcentaje,74.4
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,101.0
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,96.2
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,101.0
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.8
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,99.7
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,99.3
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.8
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,98.6
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.1
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.4
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,95.0
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.6
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,97.2
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,,Porcentaje,100.5
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,96.0
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,93.3
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.8
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.7
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,99.2
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,99.2
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,97.6
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.7
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.6
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.1
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.8
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.1
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,98.2
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Araba/Álava,Porcentaje,94.7
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,101.1
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,99.5
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,96.0
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,98.2
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,94.8
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.3
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,99.0
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,101.0
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.4
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.6
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.6
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.7
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,100.0
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Bizkaia,Porcentaje,97.0
2010,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,102.4
2015,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,101.5
2021,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,98.0
2014,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,101.8
2019,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,100.1
2011,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,102.1
2023,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,96.2
2022,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,97.2
2020,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,99.6
2018,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,100.3
2016,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,101.3
2017,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,100.7
2012,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,101.8
2013,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,Hombre,Gipuzkoa,Porcentaje,102.0
